LAT_LON,ZIP_CODE_IMPUTED
"40.66807, -73.80789",11420
"40.684082, -73.90864",11207
"40.74613, -73.83605",11355
"40.847897, -73.92499",10452
"40.695377, -73.94921",11206
"40.828114, -73.93107",10032
"40.781265, -73.97599",10024
"40.748436, -73.984566",10118
"40.829697, -73.91313",10456
"40.852673, -73.919106",10453
"40.851555, -73.952446",7024
"40.707928, -73.784294",11432
"40.64254, -73.87652",11239
"40.783146, -73.97833",10024
"40.74425, -73.7334",11426
"40.730644, -73.97329",10010
"40.75218, -73.85201",11368
"40.788685, -73.94386",10029
"40.820095, -73.955086",10031
"40.594334, -73.990944",11214
"40.583626, -73.98407",11224
"40.772327, -73.94531",10162
"40.677917, -73.93861",11203
"40.809563, -73.92923",10454
"40.76122, -73.93056",11106
"40.588722, -73.960464",11235
"40.643456, -73.972725",11218
"40.67612, -73.936005",11213
"40.620663, -74.1524",10314
"40.745686, -73.97213",10016
"40.7605, -73.95699",10044
"40.661995, -73.91959",11212
"40.711227, -73.72826",11429
"40.861862, -73.91282",10468
"40.6191, -74.159615",10314
"40.734566, -73.72269",11426
"40.671932, -73.85165",11417
"40.671604, -73.86907",11208
"40.704494, -73.81743",11435
"40.845642, -73.90211",10457
"40.82681, -73.85361",10473
"40.687138, -73.75136",11413
"40.865143, -73.87204",10467
"40.866673, -73.90896",10468
"40.674934, -73.80186",11420
"40.637997, -74.02136",11220
"40.750965, -73.94027",11101
"40.671585, -73.99843",11232
"40.810173, -73.95117",10027
"40.687103, -73.89251",11207
"40.861744, -73.911804",10468
"40.741074, -73.7258",11426
"40.730366, -73.91388",11378
"40.784237, -73.947075",10128
"40.659336, -73.92726",11212
"40.616093, -74.14523",10314
"40.62614, -74.14276",10302
"40.755234, -73.941246",11101
"40.643875, -74.01887",11220
"40.69168, -73.999344",11208
"40.667683, -73.99608",11232
"40.857605, -73.93778",10040
"40.7491, -73.984085",10016
"40.721985, -73.98552",10002
"40.5843, -74.16492",10311
"40.67983, -73.9583",11238
"40.821117, -73.957466",10031
"40.849167, -73.92393",10040
"40.579826, -73.97622",11224
"40.756725, -73.96",10022
"40.607643, -74.03375",11252
"40.583874, -73.823044",11693
"40.714554, -73.83147",11415
"40.763668, -73.82303",11354
"40.705246, -73.95908",11249
"40.760403, -73.98748",10036
"40.834503, -73.93037",10452
"40.835724, -73.92129",10452
"40.60069, -74.010056",11214
"40.593002, -74.159",10314
"40.75458, -73.99915",10001
"40.741394, -73.82303",11355
"40.76468, -73.9643",10065
"40.698544, -73.96236",11205
"40.734135, -73.9992",10011
"40.79099, -73.96518",10025
"40.780125, -73.95304",10128
"40.834507, -73.91772",10452
"40.663227, -73.93159",11234
"40.61636, -74.15677",10314
"40.824932, -73.82431",10465
"40.696213, -73.97528",11251
"40.677025, -73.95268",11216
"40.84797, -73.924774",10040
"40.826153, -73.920265",10451
"40.694637, -73.949066",11206
"40.678852, -73.88152",11208
"40.758537, -73.97721",10035
"40.716824, -73.82019",11367
"40.827595, -73.85004",10472
"40.81094, -73.94318",10027
"40.64124, -73.943726",11203
"40.810486, -73.905075",10455
"40.72956, -73.87145",11416
"40.711033, -73.7281",11429
"40.696445, -73.8131",11435
"40.679073, -73.92527",11233
"40.66597, -73.928604",11213
"40.683342, -74.001976",11231
"40.825424, -73.923485",10451
"40.588078, -74.16127",10314
"40.8541, -73.919106",10453
"40.608433, -74.15544",10314
"40.60783, -74.1465",10314
"40.841084, -73.937935",10032
"40.621357, -74.02198",11209
"40.666748, -73.764534",11413
"40.703915, -73.94817",11206
"40.844563, -73.901276",10457
"40.710476, -73.963844",11249
"40.584343, -73.962",12235
"40.759205, -73.98464",10019
"40.69942, -73.86878",11421
"40.85687, -73.93477",10040
